Society,Year,Formalism,System_Bond_Density,System_Bond_Density_0,Decay_Index,Lambda2_Connectivity,Phase,Regime_Label,ESCH_Activation
Argentina,1991,JUNO-1.0,0.2369,0.31,0.2359,1.7416,4,Moderate Stress,0.5
Argentina,1992,JUNO-1.0,0.2393,0.31,0.2282,1.7504,4,Moderate Stress,0.5
Argentina,1993,JUNO-1.0,0.283,0.31,0.0871,2.1285,5,Stable Integration,1.0
Argentina,1994,JUNO-1.0,0.2815,0.31,0.092,2.1228,5,Stable Integration,1.0
Argentina,1995,JUNO-1.0,0.2846,0.31,0.0821,2.1345,5,Stable Integration,0.875
Argentina,1996,JUNO-1.0,0.2898,0.31,0.0653,2.1542,5,Stable Integration,1.0
Argentina,1997,JUNO-1.0,0.2996,0.31,0.0336,2.1901,5,Stable Integration,1.275
Argentina,1998,JUNO-1.0,0.2634,0.31,0.1505,2.0533,5,Stable Integration,0.55
Argentina,1999,JUNO-1.0,0.2118,0.31,0.317,1.537,4,Moderate Stress,-0.5
Argentina,2000,JUNO-1.0,0.1482,0.31,0.5218,1.0395,1,Systemic Collapse,-2.325
Argentina,2001,JUNO-1.0,0.0784,0.31,0.747,0.437,1,Systemic Collapse,-5.075
Argentina,2002,JUNO-1.0,0.0998,0.31,0.6782,0.6498,1,Systemic Collapse,-3.825
Argentina,2003,JUNO-1.0,0.1733,0.31,0.441,1.2256,3,Fragmentation,-1.25
Argentina,2004,JUNO-1.0,0.2332,0.31,0.2478,1.6398,4,Moderate Stress,-0.125
Argentina,2005,JUNO-1.0,0.247,0.31,0.2034,1.8032,4,Moderate Stress,0.45
Argentina,2006,JUNO-1.0,0.247,0.31,0.2034,1.8032,4,Moderate Stress,0.525
Argentina,2007,JUNO-1.0,0.268,0.31,0.1356,1.8864,5,Stable Integration,1.075
Argentina,2008,JUNO-1.0,0.2145,0.31,0.3081,1.5466,4,Moderate Stress,-0.325
Argentina,2009,JUNO-1.0,0.2132,0.31,0.3123,1.542,4,Moderate Stress,-0.375
Argentina,2010,JUNO-1.0,0.2434,0.31,0.2149,1.7889,4,Moderate Stress,0.25
Argentina,2011,JUNO-1.0,0.2434,0.31,0.2149,1.7889,4,Moderate Stress,0.25
Argentina,2012,JUNO-1.0,0.2,0.31,0.3548,1.4933,4,Moderate Stress,-0.625
Argentina,2013,JUNO-1.0,0.1778,0.31,0.4266,1.4074,3,Fragmentation,-1.175
Argentina,2014,JUNO-1.0,0.1566,0.31,0.4948,1.0681,2,Acute Crisis,-1.9
Argentina,2015,JUNO-1.0,0.2045,0.31,0.3403,1.5104,4,Moderate Stress,-0.7
Argentina,2016,JUNO-1.0,0.2254,0.31,0.273,1.6755,4,Moderate Stress,-0.25
Argentina,2017,JUNO-1.0,0.2422,0.31,0.2189,1.7836,4,Moderate Stress,0.0
Argentina,2018,JUNO-1.0,0.1471,0.31,0.5257,1.035,1,Systemic Collapse,-1.975
Argentina,2019,JUNO-1.0,0.146,0.31,0.5292,1.0312,1,Systemic Collapse,-2.5
Argentina,2020,JUNO-1.0,0.1465,0.31,0.5274,0.98,1,Systemic Collapse,-2.05
Argentina,2021,JUNO-1.0,0.1527,0.31,0.5075,1.0546,2,Acute Crisis,-1.85
Argentina,2022,JUNO-1.0,0.1192,0.31,0.6157,0.8693,1,Systemic Collapse,-3.75
Argentina,2023,JUNO-1.0,0.0983,0.31,0.6828,0.6354,1,Systemic Collapse,-4.325
Argentina,2024,JUNO-1.0,0.1234,0.31,0.602,0.8847,1,Systemic Collapse,-3.625
Argentina,2025,JUNO-1.0,0.1287,0.31,0.5849,0.9141,1,Systemic Collapse,-3.225
Argentina,2026,JUNO-1.0,0.1343,0.31,0.5668,0.9372,1,Systemic Collapse,-2.625
Australia,1875,JUNO-1.0,0.2994,0.2994,0.0,2.0652,5,Stable Integration,1.375
Australia,1876,JUNO-1.0,0.2994,0.2994,0.0,2.0652,5,Stable Integration,1.375
Australia,1877,JUNO-1.0,0.2994,0.2994,0.0,2.0652,5,Stable Integration,1.375
Australia,1878,JUNO-1.0,0.2994,0.2994,0.0,2.0652,5,Stable Integration,1.375
Australia,1879,JUNO-1.0,0.2994,0.2994,0.0,2.0652,5,Stable Integration,1.375
Australia,1880,JUNO-1.0,0.2994,0.2994,0.0,2.0652,5,Stable Integration,1.375
Australia,1881,JUNO-1.0,0.2994,0.2994,0.0,2.0652,5,Stable Integration,1.375
Australia,1882,JUNO-1.0,0.2994,0.2994,0.0,2.0652,5,Stable Integration,1.375
Australia,1883,JUNO-1.0,0.2994,0.2994,0.0,2.0652,5,Stable Integration,1.375
Australia,1884,JUNO-1.0,0.2994,0.2994,0.0,2.0652,5,Stable Integration,1.375
Australia,1885,JUNO-1.0,0.3034,0.2994,-0.0134,2.0792,6,High Coherence,1.5
Australia,1886,JUNO-1.0,0.3034,0.2994,-0.0134,2.0792,6,High Coherence,1.5
Australia,1887,JUNO-1.0,0.3149,0.2994,-0.0519,2.1193,6,High Coherence,1.875
Australia,1888,JUNO-1.0,0.3034,0.2994,-0.0134,2.0792,6,High Coherence,1.5
Australia,1889,JUNO-1.0,0.3034,0.2994,-0.0134,2.0792,6,High Coherence,1.5
Australia,1890,JUNO-1.0,0.1675,0.2994,0.4404,1.0546,2,Acute Crisis,-2.375
Australia,1891,JUNO-1.0,0.1646,0.2994,0.4502,0.8935,2,Acute Crisis,-2.25
Australia,1892,JUNO-1.0,0.1649,0.2994,0.4492,0.8935,2,Acute Crisis,-2.375
Australia,1893,JUNO-1.0,0.159,0.2994,0.4688,0.8737,2,Acute Crisis,-2.625
Australia,1894,JUNO-1.0,0.2761,0.2994,0.0776,2.0154,5,Stable Integration,1.0
Australia,1895,JUNO-1.0,0.2761,0.2994,0.0776,2.0154,5,Stable Integration,1.0
Australia,1896,JUNO-1.0,0.2761,0.2994,0.0776,2.0154,5,Stable Integration,1.0
Australia,1897,JUNO-1.0,0.29,0.2994,0.0314,2.0659,5,Stable Integration,1.0
Australia,1898,JUNO-1.0,0.29,0.2994,0.0314,2.0659,5,Stable Integration,1.0
Australia,1899,JUNO-1.0,0.2785,0.2994,0.0697,1.9183,5,Stable Integration,1.0
Australia,1900,JUNO-1.0,0.29,0.2994,0.0314,2.0659,5,Stable Integration,1.125
Australia,1901,JUNO-1.0,0.3448,0.2994,-0.1517,2.5277,6,High Coherence,1.875
Australia,1902,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1903,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1904,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1905,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1906,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1907,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1908,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1909,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1910,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1911,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1912,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1913,JUNO-1.0,0.3497,0.2994,-0.1682,2.5334,6,High Coherence,2.125
Australia,1914,JUNO-1.0,0.2343,0.2994,0.2174,1.701,4,Moderate Stress,0.0
Australia,1915,JUNO-1.0,0.2343,0.2994,0.2174,1.701,4,Moderate Stress,0.0
Australia,1916,JUNO-1.0,0.22,0.2994,0.2652,1.4552,4,Moderate Stress,-0.5
Australia,1917,JUNO-1.0,0.22,0.2994,0.2652,1.4552,4,Moderate Stress,-0.5
Australia,1918,JUNO-1.0,0.2343,0.2994,0.2174,1.701,4,Moderate Stress,0.0
Australia,1919,JUNO-1.0,0.2562,0.2994,0.1442,1.8124,5,Stable Integration,0.25
Australia,1920,JUNO-1.0,0.2602,0.2994,0.1306,1.9156,5,Stable Integration,0.25
Australia,1921,JUNO-1.0,0.2692,0.2994,0.1006,1.9899,5,Stable Integration,0.75
Australia,1922,JUNO-1.0,0.2692,0.2994,0.1006,1.9899,5,Stable Integration,0.75
Australia,1923,JUNO-1.0,0.2692,0.2994,0.1006,1.9899,5,Stable Integration,0.75
Australia,1924,JUNO-1.0,0.2692,0.2994,0.1006,1.9899,5,Stable Integration,0.75
Australia,1925,JUNO-1.0,0.2692,0.2994,0.1006,1.9899,5,Stable Integration,0.75
Australia,1926,JUNO-1.0,0.2692,0.2994,0.1006,1.9899,5,Stable Integration,0.75
Australia,1927,JUNO-1.0,0.2692,0.2994,0.1006,1.9899,5,Stable Integration,0.75
Australia,1928,JUNO-1.0,0.2568,0.2994,0.1423,1.7286,5,Stable Integration,0.5
Australia,1929,JUNO-1.0,0.1145,0.2994,0.6176,0.7479,1,Systemic Collapse,-4.975
Australia,1930,JUNO-1.0,0.1149,0.2994,0.6163,0.7455,1,Systemic Collapse,-4.95
Australia,1931,JUNO-1.0,0.1072,0.2994,0.6418,0.6599,1,Systemic Collapse,-4.975
Australia,1932,JUNO-1.0,0.1158,0.2994,0.613,0.7661,1,Systemic Collapse,-4.525
Australia,1933,JUNO-1.0,0.1229,0.2994,0.5893,0.8334,1,Systemic Collapse,-3.8
Australia,1934,JUNO-1.0,0.2396,0.2994,0.1997,1.6661,4,Moderate Stress,0.25
Australia,1935,JUNO-1.0,0.2396,0.2994,0.1997,1.6661,4,Moderate Stress,0.25
Australia,1936,JUNO-1.0,0.2396,0.2994,0.1997,1.6661,4,Moderate Stress,0.25
Australia,1937,JUNO-1.0,0.2396,0.2994,0.1997,1.6661,4,Moderate Stress,0.25
Australia,1938,JUNO-1.0,0.2396,0.2994,0.1997,1.6661,4,Moderate Stress,0.25
Australia,1939,JUNO-1.0,0.2558,0.2994,0.1457,1.9975,5,Stable Integration,0.25
Australia,1940,JUNO-1.0,0.2558,0.2994,0.1457,1.9975,5,Stable Integration,0.25
Australia,1941,JUNO-1.0,0.2558,0.2994,0.1457,1.9975,5,Stable Integration,0.25
Australia,1942,JUNO-1.0,0.2223,0.2994,0.2572,1.3867,4,Moderate Stress,0.125
Australia,1943,JUNO-1.0,0.2323,0.2994,0.2241,1.5994,4,Moderate Stress,0.25
Australia,1944,JUNO-1.0,0.349,0.2994,-0.1658,2.5572,6,High Coherence,2.5
Australia,1945,JUNO-1.0,0.3485,0.2994,-0.1642,2.5571,6,High Coherence,2.625
Australia,1946,JUNO-1.0,0.3392,0.2994,-0.133,2.5109,6,High Coherence,2.0
Australia,1947,JUNO-1.0,0.3338,0.2994,-0.115,2.3924,6,High Coherence,1.875
Australia,1948,JUNO-1.0,0.3286,0.2994,-0.0976,2.3102,6,High Coherence,1.75
Australia,1949,JUNO-1.0,0.328,0.2994,-0.0955,2.37,6,High Coherence,1.75
Australia,1950,JUNO-1.0,0.3883,0.2994,-0.297,2.6926,6,High Coherence,3.2
Australia,1951,JUNO-1.0,0.3761,0.2994,-0.2565,2.4882,6,High Coherence,2.95
Australia,1952,JUNO-1.0,0.3826,0.2994,-0.2782,2.5131,6,High Coherence,3.075
Australia,1953,JUNO-1.0,0.3883,0.2994,-0.297,2.6926,6,High Coherence,3.2
Australia,1954,JUNO-1.0,0.3943,0.2994,-0.3172,2.884,6,High Coherence,3.325
Australia,1955,JUNO-1.0,0.3943,0.2994,-0.3172,2.884,6,High Coherence,3.325
Australia,1956,JUNO-1.0,0.3943,0.2994,-0.3172,2.884,6,High Coherence,3.325
Australia,1957,JUNO-1.0,0.3943,0.2994,-0.3172,2.884,6,High Coherence,3.325
Australia,1958,JUNO-1.0,0.3943,0.2994,-0.3172,2.884,6,High Coherence,3.325
Australia,1959,JUNO-1.0,0.3943,0.2994,-0.3172,2.884,6,High Coherence,3.325
Australia,1960,JUNO-1.0,0.381,0.2994,-0.2726,2.816,6,High Coherence,2.95
Australia,1961,JUNO-1.0,0.3746,0.2994,-0.2513,2.7885,6,High Coherence,2.575
Australia,1962,JUNO-1.0,0.3943,0.2994,-0.3172,2.884,6,High Coherence,3.325
Australia,1963,JUNO-1.0,0.3943,0.2994,-0.3172,2.884,6,High Coherence,3.325
Australia,1964,JUNO-1.0,0.3943,0.2994,-0.3172,2.884,6,High Coherence,3.325
Australia,1965,JUNO-1.0,0.3943,0.2994,-0.3172,2.884,6,High Coherence,3.325
Australia,1966,JUNO-1.0,0.2716,0.2994,0.0927,1.817,5,Stable Integration,0.625
Australia,1967,JUNO-1.0,0.28,0.2994,0.0647,1.9766,5,Stable Integration,0.875
Australia,1968,JUNO-1.0,0.28,0.2994,0.0647,1.9766,5,Stable Integration,0.875
Australia,1969,JUNO-1.0,0.2715,0.2994,0.093,1.8337,5,Stable Integration,0.625
Australia,1970,JUNO-1.0,0.2715,0.2994,0.093,1.8337,5,Stable Integration,0.625
Australia,1971,JUNO-1.0,0.2758,0.2994,0.0787,1.8602,5,Stable Integration,0.75
Australia,1972,JUNO-1.0,0.2993,0.2994,0.0001,2.1186,5,Stable Integration,1.0
Australia,1973,JUNO-1.0,0.3033,0.2994,-0.0132,2.1331,6,High Coherence,1.25
Australia,1974,JUNO-1.0,0.2628,0.2994,0.1222,1.8152,5,Stable Integration,0.0
Australia,1975,JUNO-1.0,0.2532,0.2994,0.1543,1.5455,5,Stable Integration,0.0
Australia,1976,JUNO-1.0,0.2644,0.2994,0.1168,1.8732,5,Stable Integration,0.625
Australia,1977,JUNO-1.0,0.2564,0.2994,0.1436,1.8351,5,Stable Integration,0.375
Australia,1978,JUNO-1.0,0.2564,0.2994,0.1436,1.8351,5,Stable Integration,0.375
Australia,1979,JUNO-1.0,0.2521,0.2994,0.1579,1.8167,5,Stable Integration,0.25
Australia,1980,JUNO-1.0,0.2564,0.2994,0.1436,1.8351,5,Stable Integration,0.375
Australia,1981,JUNO-1.0,0.2564,0.2994,0.1436,1.8351,5,Stable Integration,0.375
Australia,1982,JUNO-1.0,0.2483,0.2994,0.1707,1.6991,4,Moderate Stress,-0.125
Australia,1983,JUNO-1.0,0.4003,0.2994,-0.3374,2.819,6,High Coherence,3.325
Australia,1984,JUNO-1.0,0.3947,0.2994,-0.3184,2.7991,6,High Coherence,3.075
Australia,1985,JUNO-1.0,0.3793,0.2994,-0.2671,2.7424,6,High Coherence,2.825
Australia,1986,JUNO-1.0,0.3793,0.2994,-0.2671,2.7424,6,High Coherence,2.825
Australia,1987,JUNO-1.0,0.3538,0.2994,-0.1819,2.4941,6,High Coherence,2.325
Australia,1988,JUNO-1.0,0.3937,0.2994,-0.3151,2.795,6,High Coherence,3.075
Australia,1989,JUNO-1.0,0.3664,0.2994,-0.224,2.546,6,High Coherence,2.575
Australia,1990,JUNO-1.0,0.1999,0.2994,0.3322,1.2434,3,Fragmentation,-2.125
Australia,1991,JUNO-1.0,0.1999,0.2994,0.3321,1.2434,3,Fragmentation,-2.125
Australia,1992,JUNO-1.0,0.2092,0.2994,0.3013,1.3599,4,Moderate Stress,-1.375
Australia,1993,JUNO-1.0,0.2912,0.2994,0.0271,2.0455,5,Stable Integration,1.0
Australia,1994,JUNO-1.0,0.3079,0.2994,-0.0286,2.1086,6,High Coherence,1.5
Australia,1995,JUNO-1.0,0.2912,0.2994,0.0271,2.0455,5,Stable Integration,1.0
Australia,1996,JUNO-1.0,0.3387,0.2994,-0.1315,2.373,6,High Coherence,1.875
Australia,1997,JUNO-1.0,0.3348,0.2994,-0.1184,2.3557,6,High Coherence,1.875
Australia,1998,JUNO-1.0,0.3236,0.2994,-0.0809,2.2955,6,High Coherence,1.5
Australia,1999,JUNO-1.0,0.3299,0.2994,-0.1019,2.1995,6,High Coherence,1.875
Australia,2000,JUNO-1.0,0.3678,0.2994,-0.2288,2.4811,6,High Coherence,2.5
Australia,2001,JUNO-1.0,0.3246,0.2994,-0.0842,2.1742,6,High Coherence,1.625
Australia,2002,JUNO-1.0,0.3032,0.2994,-0.0128,2.0894,6,High Coherence,1.25
Australia,2003,JUNO-1.0,0.2941,0.2994,0.0177,1.9317,5,Stable Integration,0.875
Australia,2004,JUNO-1.0,0.3032,0.2994,-0.0128,2.0894,6,High Coherence,1.25
Australia,2005,JUNO-1.0,0.2985,0.2994,0.0028,2.0415,5,Stable Integration,1.0
Australia,2006,JUNO-1.0,0.2937,0.2994,0.0191,2.0249,5,Stable Integration,0.875
Australia,2007,JUNO-1.0,0.3277,0.2994,-0.0948,2.1798,6,High Coherence,1.625
Australia,2008,JUNO-1.0,0.2469,0.2994,0.1752,1.6527,4,Moderate Stress,-0.2
Australia,2009,JUNO-1.0,0.2698,0.2994,0.0988,1.844,5,Stable Integration,0.55
Australia,2010,JUNO-1.0,0.2549,0.2994,0.1484,1.4016,5,Stable Integration,0.3
Australia,2011,JUNO-1.0,0.2573,0.2994,0.1406,1.6001,5,Stable Integration,0.175
Australia,2012,JUNO-1.0,0.265,0.2994,0.1148,1.7222,5,Stable Integration,0.425
Australia,2013,JUNO-1.0,0.265,0.2994,0.1148,1.7222,5,Stable Integration,0.425
Australia,2014,JUNO-1.0,0.2415,0.2994,0.1932,1.506,4,Moderate Stress,-0.525
Australia,2015,JUNO-1.0,0.2421,0.2994,0.1914,1.411,4,Moderate Stress,-0.275
Australia,2016,JUNO-1.0,0.2455,0.2994,0.1798,1.5212,4,Moderate Stress,-0.275
Australia,2017,JUNO-1.0,0.2445,0.2994,0.1834,1.6138,4,Moderate Stress,-0.275
Australia,2018,JUNO-1.0,0.2397,0.2994,0.1993,1.3351,4,Moderate Stress,-0.375
Australia,2019,JUNO-1.0,0.222,0.2994,0.2584,1.6259,4,Moderate Stress,-1.125
Australia,2020,JUNO-1.0,0.2051,0.2994,0.3148,1.4306,4,Moderate Stress,-1.95
Australia,2021,JUNO-1.0,0.2232,0.2994,0.2544,1.5664,4,Moderate Stress,-0.95
Australia,2022,JUNO-1.0,0.2389,0.2994,0.2021,1.7641,4,Moderate Stress,-0.5
Australia,2023,JUNO-1.0,0.2589,0.2994,0.1352,1.9087,5,Stable Integration,0.125
Australia,2024,JUNO-1.0,0.2586,0.2994,0.136,1.9087,5,Stable Integration,0.25
Australia,2025,JUNO-1.0,0.2811,0.2994,0.0611,2.0274,5,Stable Integration,0.875
Australia,2026,JUNO-1.0,0.2759,0.2994,0.0784,2.0081,5,Stable Integration,0.625
Canada,1850,JUNO-1.0,0.2309,0.2309,0.0,1.6031,4,Moderate Stress,-0.2
Canada,1860,JUNO-1.0,0.2211,0.2309,0.0422,1.4568,4,Moderate Stress,-0.075
Canada,1867,JUNO-1.0,0.3131,0.2309,-0.3563,2.1836,6,High Coherence,1.05
Canada,1870,JUNO-1.0,0.2309,0.2309,-0.0002,1.5366,4,Moderate Stress,-0.325
Canada,1880,JUNO-1.0,0.3131,0.2309,-0.3563,2.1844,6,High Coherence,1.7
Canada,1885,JUNO-1.0,0.2456,0.2309,-0.0638,1.57,4,Moderate Stress,0.425
Canada,1900,JUNO-1.0,0.3953,0.2309,-0.712,2.7972,6,High Coherence,3.125
Canada,1910,JUNO-1.0,0.3788,0.2309,-0.6406,2.6343,6,High Coherence,3.225
Canada,1914,JUNO-1.0,0.2495,0.2309,-0.0806,1.7036,4,Moderate Stress,-0.125
Canada,1918,JUNO-1.0,0.1849,0.2309,0.199,1.2034,3,Fragmentation,-1.125
Canada,1921,JUNO-1.0,0.272,0.2309,-0.178,1.9821,5,Stable Integration,0.6
Canada,1929,JUNO-1.0,0.2887,0.2309,-0.2504,1.9674,5,Stable Integration,1.25
Canada,1933,JUNO-1.0,0.13,0.2309,0.4371,0.8413,1,Systemic Collapse,-3.825
Canada,1939,JUNO-1.0,0.2438,0.2309,-0.0559,1.6794,4,Moderate Stress,-0.25
Canada,1945,JUNO-1.0,0.3785,0.2309,-0.6395,2.6725,6,High Coherence,2.75
Canada,1950,JUNO-1.0,0.397,0.2309,-0.7197,2.6861,6,High Coherence,3.35
Canada,1960,JUNO-1.0,0.3877,0.2309,-0.6794,2.5539,6,High Coherence,3.225
Canada,1967,JUNO-1.0,0.4835,0.2309,-1.0941,3.5363,6,High Coherence,4.375
Canada,1970,JUNO-1.0,0.2888,0.2309,-0.2508,1.9329,5,Stable Integration,1.375
Canada,1975,JUNO-1.0,0.2479,0.2309,-0.0738,1.6504,4,Moderate Stress,0.075
Canada,1980,JUNO-1.0,0.2285,0.2309,0.0103,1.6097,4,Moderate Stress,-0.35
Canada,1982,JUNO-1.0,0.2774,0.2309,-0.2017,1.8028,5,Stable Integration,0.375
Canada,1988,JUNO-1.0,0.3467,0.2309,-0.5017,2.1785,6,High Coherence,2.375
Canada,1993,JUNO-1.0,0.2706,0.2309,-0.1721,1.6556,5,Stable Integration,0.35
Canada,1995,JUNO-1.0,0.2222,0.2309,0.0375,1.4131,4,Moderate Stress,-0.575
Canada,2000,JUNO-1.0,0.4084,0.2309,-0.769,2.9319,6,High Coherence,3.5
Canada,2006,JUNO-1.0,0.3419,0.2309,-0.4808,2.3504,6,High Coherence,2.5
Canada,2008,JUNO-1.0,0.2242,0.2309,0.0288,1.5337,4,Moderate Stress,-0.65
Canada,2010,JUNO-1.0,0.326,0.2309,-0.4121,2.1035,6,High Coherence,2.25
Canada,2015,JUNO-1.0,0.3806,0.2309,-0.6485,2.7341,6,High Coherence,3.0
Canada,2019,JUNO-1.0,0.2523,0.2309,-0.0928,1.7889,5,Stable Integration,0.8
Canada,2022,JUNO-1.0,0.2,0.2309,0.1337,1.3043,4,Moderate Stress,-1.15
Canada,2026,JUNO-1.0,0.1959,0.2309,0.1516,1.2648,3,Fragmentation,-1.475
Chile,1875,JUNO-1.0,0.3385,0.3385,0.0,2.0775,6,High Coherence,1.95
Chile,1876,JUNO-1.0,0.3372,0.3385,0.0038,2.0673,6,High Coherence,2.05
Chile,1877,JUNO-1.0,0.3336,0.3385,0.0146,2.055,6,High Coherence,1.85
Chile,1878,JUNO-1.0,0.3218,0.3385,0.0495,2.0488,6,High Coherence,1.65
Chile,1879,JUNO-1.0,0.2882,0.3385,0.1487,1.8945,5,Stable Integration,0.8
Chile,1880,JUNO-1.0,0.2938,0.3385,0.1321,1.8826,5,Stable Integration,1.2
Chile,1881,JUNO-1.0,0.2983,0.3385,0.1188,1.9221,5,Stable Integration,1.325
Chile,1882,JUNO-1.0,0.3226,0.3385,0.0471,2.1691,6,High Coherence,2.125
Chile,1883,JUNO-1.0,0.3736,0.3385,-0.1036,2.398,6,High Coherence,2.95
Chile,1884,JUNO-1.0,0.3649,0.3385,-0.078,2.1069,6,High Coherence,3.075
Chile,1885,JUNO-1.0,0.3706,0.3385,-0.0948,2.1249,6,High Coherence,3.125
Chile,1886,JUNO-1.0,0.3767,0.3385,-0.1127,2.1714,6,High Coherence,3.15
Chile,1887,JUNO-1.0,0.3777,0.3385,-0.1158,2.2076,6,High Coherence,3.225
Chile,1888,JUNO-1.0,0.3642,0.3385,-0.076,2.1155,6,High Coherence,3.025
Chile,1889,JUNO-1.0,0.3493,0.3385,-0.0317,2.1132,6,High Coherence,2.8
Chile,1890,JUNO-1.0,0.279,0.3385,0.176,1.7553,5,Stable Integration,1.675
Chile,1891,JUNO-1.0,0.1473,0.3385,0.5649,0.9872,1,Systemic Collapse,-2.15
Chile,1892,JUNO-1.0,0.2973,0.3385,0.1219,1.9078,5,Stable Integration,1.4
